Driver,LapNumber,TyreAge,LapDelta,Compound_Num,TrackTemp,Rainfall,SafetyCar,PitNextLap
ALB,1.0,1,0.0,0,31.1,0,0,0
BOT,1.0,1,0.0,0,31.1,0,0,0
DEV,1.0,1,0.0,0,31.1,0,0,0
VER,1.0,1,0.0,0,31.1,0,0,0
GAS,1.0,1,0.0,0,31.1,0,0,0
HAM,1.0,1,0.0,0,31.1,0,0,0
TSU,1.0,1,0.0,0,31.1,0,0,0
HUL,1.0,1,0.0,0,31.1,0,0,0
ZHO,1.0,1,0.0,0,31.1,0,0,0
STR,1.0,1,0.0,0,31.1,0,0,0
MAG,1.0,1,0.0,2,31.1,0,0,0
NOR,1.0,1,0.0,0,31.1,0,0,0
SAR,1.0,1,0.0,0,31.1,0,0,0
OCO,1.0,1,0.0,0,31.1,0,0,0
PER,1.0,1,0.0,0,31.1,0,0,0
PIA,1.0,1,0.0,0,31.1,0,0,0
RUS,1.0,1,0.0,0,31.1,0,0,0
LEC,1.0,1,0.0,0,31.1,0,0,0
ALO,1.0,1,0.0,0,31.1,0,0,0
SAI,1.0,1,0.0,0,31.1,0,0,0
VER,2.0,2,-1.045,0,31.1,0,0,0
LEC,2.0,2,-1.48,0,31.1,0,0,0
PER,2.0,2,-2.201,0,31.1,0,0,0
SAI,2.0,2,-2.726,0,31.1,0,0,0
HAM,2.0,2,-3.122,0,31.1,0,0,0
RUS,2.0,2,-3.072,0,31.1,0,0,0
ALO,2.0,2,-3.816,0,31.1,0,0,0
BOT,2.0,2,-4.198,0,31.1,0,0,0
STR,2.0,2,-4.778,0,31.1,0,0,0
NOR,2.0,2,-4.931,0,31.0,0,0,0
OCO,2.0,2,-5.559,0,31.0,0,0,0
ALB,2.0,2,-6.023,0,31.0,0,0,0
SAR,2.0,2,-6.388,0,31.0,0,0,0
HUL,2.0,2,-6.619,0,31.0,0,0,0
TSU,2.0,2,-6.954,0,31.0,0,0,0
PIA,2.0,2,-7.384,0,31.0,0,0,0
ZHO,2.0,2,-7.376,0,31.0,0,0,0
MAG,2.0,2,-7.809,2,31.0,0,0,0
GAS,2.0,2,-9.211,0,31.0,0,0,0
DEV,2.0,2,-8.67,0,31.0,0,0,0
VER,3.0,3,0.032,0,30.9,0,0,0
LEC,3.0,3,-0.092,0,30.9,0,0,0
PER,3.0,3,-0.032,0,30.9,0,0,0
SAI,3.0,3,0.109,0,30.9,0,0,0
HAM,3.0,3,0.054,0,30.9,0,0,0
RUS,3.0,3,-0.497,0,30.9,0,0,0
ALO,3.0,3,-0.692,0,30.9,0,0,0
BOT,3.0,3,-0.559,0,30.9,0,0,0
STR,3.0,3,-0.267,0,30.9,0,0,0
NOR,3.0,3,-0.656,0,30.9,0,0,0
OCO,3.0,3,-0.46,0,30.9,0,0,0
ALB,3.0,3,-0.287,0,30.9,0,0,0
SAR,3.0,3,-0.118,0,30.9,0,0,0
HUL,3.0,3,-0.236,0,30.9,0,0,0
TSU,3.0,3,-0.594,0,30.9,0,0,0
PIA,3.0,3,-0.139,0,30.9,0,0,0
ZHO,3.0,3,-0.495,0,30.9,0,0,0
GAS,3.0,3,0.205,0,30.9,0,0,0
MAG,3.0,3,0.457,2,30.9,0,0,0
DEV,3.0,3,-0.375,0,30.9,0,0,0
VER,4.0,4,-0.03,0,30.9,0,0,0
LEC,4.0,4,0.167,0,30.9,0,0,0
PER,4.0,4,-0.072,0,30.9,0,0,0
SAI,4.0,4,-0.057,0,30.9,0,0,0
HAM,4.0,4,-0.022,0,30.9,0,0,0
RUS,4.0,4,0.168,0,30.9,0,0,0
ALO,4.0,4,0.448,0,30.9,0,0,0
BOT,4.0,4,0.426,0,30.9,0,0,0
STR,4.0,4,0.12,0,30.9,0,0,0
NOR,4.0,4,2.49,0,30.9,0,0,0
OCO,4.0,4,-0.405,0,30.9,0,0,0
ALB,4.0,4,-0.382,0,30.9,0,0,0
SAR,4.0,4,0.295,0,30.9,0,0,0
HUL,4.0,4,0.52,0,30.9,0,0,0
TSU,4.0,4,-0.293,0,30.9,0,0,0
PIA,4.0,4,0.027,0,30.9,0,0,0
ZHO,4.0,4,0.257,0,30.9,0,0,0
GAS,4.0,4,0.251,0,30.9,0,0,0
DEV,4.0,4,-0.541,0,30.9,0,0,0
MAG,4.0,4,-1.205,2,30.9,0,0,0
VER,5.0,5,0.059,0,30.8,0,0,0
LEC,5.0,5,-0.161,0,30.8,0,0,0
PER,5.0,5,-0.354,0,30.8,0,0,0
SAI,5.0,5,0.143,0,30.8,0,0,0
HAM,5.0,5,0.137,0,30.8,0,0,0
RUS,5.0,5,0.288,0,30.8,0,0,0
ALO,5.0,5,0.114,0,30.8,0,0,0
BOT,5.0,5,1.21,0,30.8,0,0,0
STR,5.0,5,-0.601,0,30.8,0,0,0
OCO,5.0,5,0.738,0,30.6,0,0,0
ALB,5.0,5,0.845,0,30.6,0,0,0
NOR,5.0,5,-1.603,0,30.6,0,0,0
SAR,5.0,5,0.258,0,30.6,0,0,0
TSU,5.0,5,1.181,0,30.6,0,0,0
HUL,5.0,5,-0.002,0,30.6,0,0,0
PIA,5.0,5,0.144,0,30.6,0,0,0
ZHO,5.0,5,-0.039,0,30.6,0,0,0
GAS,5.0,5,-0.076,0,30.6,0,0,0
DEV,5.0,5,0.257,0,30.6,0,0,0
MAG,5.0,5,0.567,2,30.6,0,0,0
VER,6.0,6,-0.049,0,30.6,0,0,0
LEC,6.0,6,-0.092,0,30.5,0,0,0
PER,6.0,6,0.314,0,30.5,0,0,0
SAI,6.0,6,0.346,0,30.5,0,0,0
HAM,6.0,6,0.421,0,30.5,0,0,0
RUS,6.0,6,-0.056,0,30.5,0,0,0
ALO,6.0,6,0.012,0,30.5,0,0,0
STR,6.0,6,0.57,0,30.5,0,0,0
BOT,6.0,6,-0.768,0,30.5,0,0,0
OCO,6.0,6,0.05,0,30.5,0,0,0
ALB,6.0,6,0.138,0,30.5,0,0,0
NOR,6.0,6,0.15,0,30.5,0,0,0
SAR,6.0,6,-0.111,0,30.5,0,0,0
TSU,6.0,6,-0.245,0,30.5,0,0,0
HUL,6.0,6,0.0,0,30.5,0,0,0
PIA,6.0,6,0.249,0,30.5,0,0,0
ZHO,6.0,6,0.342,0,30.5,0,0,0
GAS,6.0,6,0.292,0,30.5,0,0,0
DEV,6.0,6,0.495,0,30.5,0,0,0
MAG,6.0,6,-0.215,2,30.5,0,0,0
VER,7.0,7,0.035,0,30.5,0,0,0
LEC,7.0,7,0.119,0,30.5,0,0,0
PER,7.0,7,0.086,0,30.5,0,0,0
SAI,7.0,7,0.028,0,30.5,0,0,0
HAM,7.0,7,0.001,0,30.5,0,0,0
RUS,7.0,7,0.563,0,30.5,0,0,0
ALO,7.0,7,0.055,0,30.5,0,0,0
STR,7.0,7,0.231,0,30.5,0,0,0
BOT,7.0,7,0.299,0,30.5,0,0,0
OCO,7.0,7,0.157,0,30.5,0,0,0
ALB,7.0,7,-0.098,0,30.5,0,0,0
NOR,7.0,7,-0.088,0,30.5,0,0,0
SAR,7.0,7,0.101,0,30.5,0,0,0
TSU,7.0,7,0.066,0,30.5,0,0,0
HUL,7.0,7,0.146,0,30.5,0,0,0
PIA,7.0,7,0.056,0,30.5,0,0,0
ZHO,7.0,7,0.041,0,30.5,0,0,0
