Driver,LapNumber,Compound,TyreAge,TyreAgeBucket,LapDeltaCategory,TrackTemp,Weather,SafetyCar,RacePhase,PitNextLap
ALB,1.0,SOFT,1,0-10,Unknown,Medium,Dry,0,Early,0
BOT,1.0,SOFT,1,0-10,Unknown,Medium,Dry,0,Early,0
DEV,1.0,SOFT,1,0-10,Unknown,Medium,Dry,0,Early,0
VER,1.0,SOFT,1,0-10,Unknown,Medium,Dry,0,Early,0
GAS,1.0,SOFT,1,0-10,Unknown,Medium,Dry,0,Early,0
HAM,1.0,SOFT,1,0-10,Unknown,Medium,Dry,0,Early,0
TSU,1.0,SOFT,1,0-10,Unknown,Medium,Dry,0,Early,0
HUL,1.0,SOFT,1,0-10,Unknown,Medium,Dry,0,Early,0
ZHO,1.0,SOFT,1,0-10,Unknown,Medium,Dry,0,Early,0
STR,1.0,SOFT,1,0-10,Unknown,Medium,Dry,0,Early,0
MAG,1.0,HARD,1,0-10,Unknown,Medium,Dry,0,Early,0
NOR,1.0,SOFT,1,0-10,Unknown,Medium,Dry,0,Early,0
SAR,1.0,SOFT,1,0-10,Unknown,Medium,Dry,0,Early,0
OCO,1.0,SOFT,1,0-10,Unknown,Medium,Dry,0,Early,0
PER,1.0,SOFT,1,0-10,Unknown,Medium,Dry,0,Early,0
PIA,1.0,SOFT,1,0-10,Unknown,Medium,Dry,0,Early,0
RUS,1.0,SOFT,1,0-10,Unknown,Medium,Dry,0,Early,0
LEC,1.0,SOFT,1,0-10,Unknown,Medium,Dry,0,Early,0
ALO,1.0,SOFT,1,0-10,Unknown,Medium,Dry,0,Early,0
SAI,1.0,SOFT,1,0-10,Unknown,Medium,Dry,0,Early,0
VER,2.0,SOFT,2,0-10,Faster,Medium,Dry,0,Early,0
LEC,2.0,SOFT,2,0-10,Faster,Medium,Dry,0,Early,0
PER,2.0,SOFT,2,0-10,Faster,Medium,Dry,0,Early,0
SAI,2.0,SOFT,2,0-10,Faster,Medium,Dry,0,Early,0
HAM,2.0,SOFT,2,0-10,Faster,Medium,Dry,0,Early,0
RUS,2.0,SOFT,2,0-10,Faster,Medium,Dry,0,Early,0
ALO,2.0,SOFT,2,0-10,Faster,Medium,Dry,0,Early,0
BOT,2.0,SOFT,2,0-10,Faster,Medium,Dry,0,Early,0
STR,2.0,SOFT,2,0-10,Faster,Medium,Dry,0,Early,0
NOR,2.0,SOFT,2,0-10,Faster,Medium,Dry,0,Early,0
OCO,2.0,SOFT,2,0-10,Faster,Medium,Dry,0,Early,0
ALB,2.0,SOFT,2,0-10,Faster,Medium,Dry,0,Early,0
SAR,2.0,SOFT,2,0-10,Faster,Medium,Dry,0,Early,0
HUL,2.0,SOFT,2,0-10,Faster,Medium,Dry,0,Early,0
TSU,2.0,SOFT,2,0-10,Faster,Medium,Dry,0,Early,0
PIA,2.0,SOFT,2,0-10,Faster,Medium,Dry,0,Early,0
ZHO,2.0,SOFT,2,0-10,Faster,Medium,Dry,0,Early,0
MAG,2.0,HARD,2,0-10,Faster,Medium,Dry,0,Early,0
GAS,2.0,SOFT,2,0-10,Faster,Medium,Dry,0,Early,0
DEV,2.0,SOFT,2,0-10,Faster,Medium,Dry,0,Early,0
VER,3.0,SOFT,3,0-10,Normal,Medium,Dry,0,Early,0
LEC,3.0,SOFT,3,0-10,Normal,Medium,Dry,0,Early,0
PER,3.0,SOFT,3,0-10,Normal,Medium,Dry,0,Early,0
SAI,3.0,SOFT,3,0-10,Normal,Medium,Dry,0,Early,0
HAM,3.0,SOFT,3,0-10,Normal,Medium,Dry,0,Early,0
RUS,3.0,SOFT,3,0-10,Normal,Medium,Dry,0,Early,0
ALO,3.0,SOFT,3,0-10,Faster,Medium,Dry,0,Early,0
BOT,3.0,SOFT,3,0-10,Faster,Medium,Dry,0,Early,0
STR,3.0,SOFT,3,0-10,Normal,Medium,Dry,0,Early,0
NOR,3.0,SOFT,3,0-10,Faster,Medium,Dry,0,Early,0
OCO,3.0,SOFT,3,0-10,Normal,Medium,Dry,0,Early,0
ALB,3.0,SOFT,3,0-10,Normal,Medium,Dry,0,Early,0
SAR,3.0,SOFT,3,0-10,Normal,Medium,Dry,0,Early,0
HUL,3.0,SOFT,3,0-10,Normal,Medium,Dry,0,Early,0
TSU,3.0,SOFT,3,0-10,Faster,Medium,Dry,0,Early,0
PIA,3.0,SOFT,3,0-10,Normal,Medium,Dry,0,Early,0
ZHO,3.0,SOFT,3,0-10,Normal,Medium,Dry,0,Early,0
GAS,3.0,SOFT,3,0-10,Normal,Medium,Dry,0,Early,0
MAG,3.0,HARD,3,0-10,Normal,Medium,Dry,0,Early,0
DEV,3.0,SOFT,3,0-10,Normal,Medium,Dry,0,Early,0
VER,4.0,SOFT,4,0-10,Normal,Medium,Dry,0,Early,0
LEC,4.0,SOFT,4,0-10,Normal,Medium,Dry,0,Early,0
PER,4.0,SOFT,4,0-10,Normal,Medium,Dry,0,Early,0
SAI,4.0,SOFT,4,0-10,Normal,Medium,Dry,0,Early,0
HAM,4.0,SOFT,4,0-10,Normal,Medium,Dry,0,Early,0
RUS,4.0,SOFT,4,0-10,Normal,Medium,Dry,0,Early,0
ALO,4.0,SOFT,4,0-10,Normal,Medium,Dry,0,Early,0
BOT,4.0,SOFT,4,0-10,Normal,Medium,Dry,0,Early,0
STR,4.0,SOFT,4,0-10,Normal,Medium,Dry,0,Early,0
NOR,4.0,SOFT,4,0-10,Slower,Medium,Dry,0,Early,0
OCO,4.0,SOFT,4,0-10,Normal,Medium,Dry,0,Early,0
ALB,4.0,SOFT,4,0-10,Normal,Medium,Dry,0,Early,0
SAR,4.0,SOFT,4,0-10,Normal,Medium,Dry,0,Early,0
HUL,4.0,SOFT,4,0-10,Slower,Medium,Dry,0,Early,0
TSU,4.0,SOFT,4,0-10,Normal,Medium,Dry,0,Early,0
PIA,4.0,SOFT,4,0-10,Normal,Medium,Dry,0,Early,0
ZHO,4.0,SOFT,4,0-10,Normal,Medium,Dry,0,Early,0
GAS,4.0,SOFT,4,0-10,Normal,Medium,Dry,0,Early,0
DEV,4.0,SOFT,4,0-10,Faster,Medium,Dry,0,Early,0
MAG,4.0,HARD,4,0-10,Faster,Medium,Dry,0,Early,0
VER,5.0,SOFT,5,0-10,Normal,Medium,Dry,0,Early,0
LEC,5.0,SOFT,5,0-10,Normal,Medium,Dry,0,Early,0
PER,5.0,SOFT,5,0-10,Normal,Medium,Dry,0,Early,0
SAI,5.0,SOFT,5,0-10,Normal,Medium,Dry,0,Early,0
HAM,5.0,SOFT,5,0-10,Normal,Medium,Dry,0,Early,0
RUS,5.0,SOFT,5,0-10,Normal,Medium,Dry,0,Early,0
ALO,5.0,SOFT,5,0-10,Normal,Medium,Dry,0,Early,0
BOT,5.0,SOFT,5,0-10,Slower,Medium,Dry,0,Early,0
STR,5.0,SOFT,5,0-10,Faster,Medium,Dry,0,Early,0
OCO,5.0,SOFT,5,0-10,Slower,Medium,Dry,0,Early,0
ALB,5.0,SOFT,5,0-10,Slower,Medium,Dry,0,Early,0
NOR,5.0,SOFT,5,0-10,Faster,Medium,Dry,0,Early,0
SAR,5.0,SOFT,5,0-10,Normal,Medium,Dry,0,Early,0
TSU,5.0,SOFT,5,0-10,Slower,Medium,Dry,0,Early,0
HUL,5.0,SOFT,5,0-10,Normal,Medium,Dry,0,Early,0
PIA,5.0,SOFT,5,0-10,Normal,Medium,Dry,0,Early,0
ZHO,5.0,SOFT,5,0-10,Normal,Medium,Dry,0,Early,0
GAS,5.0,SOFT,5,0-10,Normal,Medium,Dry,0,Early,0
DEV,5.0,SOFT,5,0-10,Normal,Medium,Dry,0,Early,0
MAG,5.0,HARD,5,0-10,Slower,Medium,Dry,0,Early,0
VER,6.0,SOFT,6,0-10,Normal,Medium,Dry,0,Early,0
LEC,6.0,SOFT,6,0-10,Normal,Medium,Dry,0,Early,0
PER,6.0,SOFT,6,0-10,Normal,Medium,Dry,0,Early,0
SAI,6.0,SOFT,6,0-10,Normal,Medium,Dry,0,Early,0
HAM,6.0,SOFT,6,0-10,Normal,Medium,Dry,0,Early,0
RUS,6.0,SOFT,6,0-10,Normal,Medium,Dry,0,Early,0
ALO,6.0,SOFT,6,0-10,Normal,Medium,Dry,0,Early,0
STR,6.0,SOFT,6,0-10,Slower,Medium,Dry,0,Early,0
BOT,6.0,SOFT,6,0-10,Faster,Medium,Dry,0,Early,0
OCO,6.0,SOFT,6,0-10,Normal,Medium,Dry,0,Early,0
ALB,6.0,SOFT,6,0-10,Normal,Medium,Dry,0,Early,0
NOR,6.0,SOFT,6,0-10,Normal,Medium,Dry,0,Early,0
SAR,6.0,SOFT,6,0-10,Normal,Medium,Dry,0,Early,0
TSU,6.0,SOFT,6,0-10,Normal,Medium,Dry,0,Early,0
HUL,6.0,SOFT,6,0-10,Normal,Medium,Dry,0,Early,0
PIA,6.0,SOFT,6,0-10,Normal,Medium,Dry,0,Early,0
ZHO,6.0,SOFT,6,0-10,Normal,Medium,Dry,0,Early,0
GAS,6.0,SOFT,6,0-10,Normal,Medium,Dry,0,Early,0
DEV,6.0,SOFT,6,0-10,Normal,Medium,Dry,0,Early,0
MAG,6.0,HARD,6,0-10,Normal,Medium,Dry,0,Early,0
VER,7.0,SOFT,7,0-10,Normal,Medium,Dry,0,Early,0
LEC,7.0,SOFT,7,0-10,Normal,Medium,Dry,0,Early,0
PER,7.0,SOFT,7,0-10,Normal,Medium,Dry,0,Early,0
SAI,7.0,SOFT,7,0-10,Normal,Medium,Dry,0,Early,0
HAM,7.0,SOFT,7,0-10,Normal,Medium,Dry,0,Early,0
RUS,7.0,SOFT,7,0-10,Slower,Medium,Dry,0,Early,0
ALO,7.0,SOFT,7,0-10,Normal,Medium,Dry,0,Early,0
STR,7.0,SOFT,7,0-10,Normal,Medium,Dry,0,Early,0
BOT,7.0,SOFT,7,0-10,Normal,Medium,Dry,0,Early,0
OCO,7.0,SOFT,7,0-10,Normal,Medium,Dry,0,Early,0
ALB,7.0,SOFT,7,0-10,Normal,Medium,Dry,0,Early,0
NOR,7.0,SOFT,7,0-10,Normal,Medium,Dry,0,Early,0
SAR,7.0,SOFT,7,0-10,Normal,Medium,Dry,0,Early,0
TSU,7.0,SOFT,7,0-10,Normal,Medium,Dry,0,Early,0
HUL,7.0,SOFT,7,0-10,Normal,Medium,Dry,0,Early,0
PIA,7.0,SOFT,7,0-10,Normal,Medium,Dry,0,Early,0
ZHO,7.0,SOFT,7,0-10,Normal,Medium,Dry,0,Early,0
GAS,7.0,SOFT,7,0-10,Normal,Medium,Dry,0,Early,0
